电视转播台,#genre#
8-廣東珠江台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=gdzj
9-美亞電影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
9-美亞電影台(HK),http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
9-美亞電影台(HK),http://php.jdshipin.com/TVOD/iptv.php?id=meiya

10-龍華電影台,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8
11-千禧經典台,http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8
11-千禧經典台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
12-黃金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8
13-翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
14-明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
15-鳳凰資訊,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
15-鳳凰資訊,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
16-鳳凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
17-中天新聞台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
17-中天新聞台,https://litv.zapi.us.kg/?id=4gtv-4gtv009
18-TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
18-TVBS,https://litv.zapi.us.kg/?id=4gtv-4gtv073
19-TVBS-新聞台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
19-TVBS-新聞台,https://litv.zapi.us.kg/?id=4gtv-4gtv072
20-神州新聞台,http://aktv.top/AKTV/live/aktv3/null-1/AKTV.m3u8
21-東森新聞台,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
22-廣東衛視,http://goo.bkpcp.top/mg/gdws
22-廣東衛視,http://z.b.bkpcp.top/m.php?id=gdws
23-東方衛視,http://goo.bkpcp.top/mg/dfws
23-東方衛視,http://z.b.bkpcp.top/m.php?id=dfws
24-東方衛視國際頻道,http://aktv.top/AKTV/live/aktv3/null/AKTV.m3u8

後備電視台,#genre#
翡翠台,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
無線新聞台,http://cdn9.1689.us.kg/smt1.1.php?id=inews_twn
千禧經典台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
大灣區衛視,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=dwqws
大灣區衛視-睡眼,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=dwqws
大湾区视,https://www.freetv.top/migu/608917627.m3u8?migutoken=96c044aff7a3dfdb93701c147e1b2fd63815eeeb10e81e9fa132537dee8d053c5a2ef8c0218a6ed7c798357d31ec2bdbe9ca5b8022ca357699bea41036e3454187119c83c0417fc77ec0e1ad46

test,#genre#
5(美),http://38.207.172.44:50002/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
8(西班牙慢),http://85.208.9.229:5000/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
9(香港),http://189.1.244.48:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
11(美),http://142.171.105.169:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
13(美),http://23.94.158.109:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace

5(美),http://38.207.172.44:50002/TVOD/1000000002000011619/ystenlive/index.m3u8?ace
8(西班牙慢),http://85.208.9.229:5000/TVOD/1000000002000011619/ystenlive/index.m3u8?ace
9(香港),http://189.1.244.48:50001/TVOD/1000000002000011619/ystenlive/index.m3u8?ace
11(美),http://142.171.105.169:50001/TVOD/1000000002000011619/ystenlive/index.m3u8?ace
13(美),http://23.94.158.109:50001/TVOD/1000000002000011619/ystenlive/index.m3u8?ace

13(美)cctv1,http://23.94.158.109:50001/TVOD/6000000001000029752/wasusyt/index.m3u8?ace

1,http://1panel.137390740.xyz:5000/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
2,http://262949.xyz:8040/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
5,http://alist.137390740.xyz:5000/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
6,http://api.wuenci.com:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
7,http://app.baiyels.com:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
9,http://dmit-hk.zwg.life:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
10,http://e5.ht9z2.top:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
11,http://gtc.goodtimektv.top:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
12,http://fenwe078.gq:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
13,http://frp.goodtimektv.top:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
14,http://hktv.kmcg.us.kg/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
17,http://iptv.992626.xyz/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
18,https://itv.fele.top:443/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
19,https://itv.mininas.cc/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
20,http://itv.uat.news/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
21,http://itv.scy.ink/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
22,http://itv.ysws.cfasxxg.cn/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
23,http://itv.zhanghao.org.cn/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
24,http://jk.1jia.xyz:51001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
25,http://kr.s5752.com:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
26,http://max.asrm1392518.cf:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
27,http://moro521.top:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
28,http://mydg.iptv.xin:8080/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
29,http://mytv.145888.xyz:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
30,http://nezha.145888.xyz:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
31,http://npm.ht9z2.top:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
32,http://pan.ht9z2.top:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
33,http://portainer.ht9z2.top:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
34,http://qb.ht9z2.top:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
35,http://server9639.direct.quickconnect.to:8080/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
36,http://sublink.145888.xyz:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
37,http://v0320.yangjian.net:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
38,http://vps3.261106.xyz:8098/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
39,http://vps.ht9z2.top:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
40,http://v.tik686.com:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
41,http://www.7891136.xyz:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
42,http://www.aadii.top:5000/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
43,http://www.xiaoya.bond:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
44,http://www.xrdp.fun:10209/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
45,http://xiaoge.myds.me:9900/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
46,http://xr.lmahon.click:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
47,http://xrdp.fun:10209/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
49,http://y.wuenci.wang:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace
50,http://zwg.life:50001/TVOD/2000000003000000045/hnbblive/index.m3u8?ace

💝湾湾频道👉全网,#genre#
中天新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv009
东森新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv152
tvbs新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv072
寰宇新闻,http://litv.zapi.us.kg/?id=litv-longturn14
非凡新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv010
闽镜新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv075
民视新闻,http://litv.zapi.us.kg/?id=litv-ftv13
中视新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv074
华视新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv052
台视新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv051
民视闽南,http://litv.zapi.us.kg/?id=4gtv-4gtv002
民视闽南,http://litv.zapi.us.kg/?id=4gtv-4gtv155
中视闽南,http://litv.zapi.us.kg/?id=4gtv-4gtv040
华视闽南,http://litv.zapi.us.kg/?id=4gtv-4gtv041
台视闽南,http://litv.zapi.us.kg/?id=4gtv-4gtv066
寰宇闽南,http://litv.zapi.us.kg/?id=litv-longturn15
tvbs闽南,http://litv.zapi.us.kg/?id=4gtv-4gtv073
民视台湾,http://litv.zapi.us.kg/?id=4gtv-4gtv001
民视台湾,http://litv.zapi.us.kg/?id=4gtv-4gtv156
民视第一,http://litv.zapi.us.kg/?id=4gtv-4gtv003
民视旅游,http://litv.zapi.us.kg/?id=litv-ftv07
民视影剧,http://litv.zapi.us.kg/?id=litv-ftv09
民视综艺,http://litv.zapi.us.kg/?id=4gtv-4gtv004
中视菁采,http://litv.zapi.us.kg/?id=4gtv-4gtv064
中视经典,http://litv.zapi.us.kg/?id=4gtv-4gtv080
台视财经,http://litv.zapi.us.kg/?id=4gtv-4gtv056
公视戏剧,http://litv.zapi.us.kg/?id=4gtv-4gtv042
闽南戏剧,http://litv.zapi.us.kg/?id=litv-longturn22
国际财经,http://litv.zapi.us.kg/?id=4gtv-4gtv104
东森财经,http://litv.zapi.us.kg/?id=4gtv-4gtv153
tvbs精采,http://litv.zapi.us.kg/?id=4gtv-4gtv067
tvbs欢乐,http://litv.zapi.us.kg/?id=4gtv-4gtv068
八大精彩,http://litv.zapi.us.kg/?id=4gtv-4gtv034
八大综艺,http://litv.zapi.us.kg/?id=4gtv-4gtv039
爱达娱乐,http://litv.zapi.us.kg/?id=4gtv-4gtv070
靖洋戏剧,http://litv.zapi.us.kg/?id=4gtv-4gtv045
靖洋卡通,http://litv.zapi.us.kg/?id=4gtv-4gtv057
靖天卡通,http://litv.zapi.us.kg/?id=4gtv-4gtv044
靖天综合,http://litv.zapi.us.kg/?id=4gtv-4gtv046
靖天日本,http://litv.zapi.us.kg/?id=4gtv-4gtv047
靖天欢乐,http://litv.zapi.us.kg/?id=4gtv-4gtv054
靖天映画,http://litv.zapi.us.kg/?id=4gtv-4gtv055
靖天戏剧,http://litv.zapi.us.kg/?id=4gtv-4gtv058
靖天电影,http://litv.zapi.us.kg/?id=4gtv-4gtv061
靖天育乐,http://litv.zapi.us.kg/?id=4gtv-4gtv062
靖天国际,http://litv.zapi.us.kg/?id=4gtv-4gtv063
靖天资讯,http://litv.zapi.us.kg/?id=4gtv-4gtv065
龙华卡通,http://litv.zapi.us.kg/?id=litv-longturn01
龙华日韩,http://litv.zapi.us.kg/?id=litv-longturn11
龙华偶像,http://litv.zapi.us.kg/?id=litv-longturn12
龙华电影,http://litv.zapi.us.kg/?id=litv-longturn03
龙华戏剧,http://litv.zapi.us.kg/?id=litv-longturn18
龙华经典,http://litv.zapi.us.kg/?id=litv-longturn21
国会频壹,http://litv.zapi.us.kg/?id=4gtv-4gtv084
国会频贰,http://litv.zapi.us.kg/?id=4gtv-4gtv085
好消息壹,http://litv.zapi.us.kg/?id=litv-ftv16
好消息贰,http://litv.zapi.us.kg/?id=litv-ftv17
智林体育,http://litv.zapi.us.kg/?id=4gtv-4gtv101
博斯魅力,http://litv.zapi.us.kg/?id=litv-longturn04
博斯网球,http://litv.zapi.us.kg/?id=litv-longturn09
博高球壹,http://litv.zapi.us.kg/?id=litv-longturn05
博高球贰,http://litv.zapi.us.kg/?id=litv-longturn06
博运动壹,http://litv.zapi.us.kg/?id=litv-longturn07
博运动贰,http://litv.zapi.us.kg/?id=litv-longturn08
博无限壹,http://litv.zapi.us.kg/?id=litv-longturn10
博无限贰,http://litv.zapi.us.kg/?id=litv-longturn13
阿里郎台,http://litv.zapi.us.kg/?id=4gtv-4gtv079
达文西台,http://litv.zapi.us.kg/?id=4gtv-4gtv018
猪哥亮厅,http://litv.zapi.us.kg/?id=4gtv-4gtv006
亚洲旅游,http://litv.zapi.us.kg/?id=litv-longturn17
美国之音,http://litv.zapi.us.kg/?id=litv-ftv03
半岛新闻,http://litv.zapi.us.kg/?id=litv-ftv10
非凡商业,http://litv.zapi.us.kg/?id=4gtv-4gtv048
第壹商业,http://litv.zapi.us.kg/?id=4gtv-4gtv109
爱放动漫,http://litv.zapi.us.kg/?id=litv-ftv15
古典音乐,http://litv.zapi.us.kg/?id=4gtv-4gtv059
客家电视,http://litv.zapi.us.kg/?id=4gtv-4gtv043
华仁纪实,http://litv.zapi.us.kg/?id=4gtv-4gtv013
时尚运动,http://litv.zapi.us.kg/?id=4gtv-4gtv014
生活英语,http://litv.zapi.us.kg/?id=litv-longturn20
采昌影剧,http://litv.zapi.us.kg/?id=4gtv-4gtv049
数位电影,http://litv.zapi.us.kg/?id=4gtv-4gtv011
Amc电影,http://litv.zapi.us.kg/?id=4gtv-4gtv017
CAT电影,http://litv.zapi.us.kg/?id=4gtv-4gtv076
TRA体育,http://litv.zapi.us.kg/?id=4gtv-4gtv077
SMArt台,http://litv.zapi.us.kg/?id=litv-longturn19
GLO-Bet,http://litv.zapi.us.kg/?id=4gtv-4gtv016
TRACEU,http://litv.zapi.us.kg/?id=4gtv-4gtv082
MEZZOl,http://litv.zapi.us.kg/?id=4gtv-4gtv083
Ginx_TV,http://litv.zapi.us.kg/?id=4gtv-4gtv053
民视闽南,rtmp://f13h.mine.nu/sat/tv051
中视闽南,rtmp://f13h.mine.nu/sat/tv091
华视闽南,rtmp://f13h.mine.nu/sat/tv111
台视闽南,rtmp://f13h.mine.nu/sat/tv071
东森超视,rtmp://f13h.mine.nu/sat/tv331
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
纬来体育,rtmp://f13h.mine.nu/sat/tv721
DAZN体育1,rtmp://f13h.mine.nu/sat/tv731
DAZN体育2,rtmp://f13h.mine.nu/sat/tv741
momoTV,rtmp://f13h.mine.nu/sat/tv761
非凡新闻,rtmp://f13h.mine.nu/sat/tv581


