电视常用台,#genre#
寄居蟹(上),https://vod.gdtv.cn/m3u8/202502/173911372426.m3u8
寄居蟹(下),https://vod.gdtv.cn/m3u8/202502/173911373645.m3u8
既定计划（上),https://vod.gdtv.cn/m3u8/202503/174178934261.m3u8
既定计划（下),https://vod.gdtv.cn/m3u8/202503/174179121521.m3u8
黑白恩怨（上),https://vod.gdtv.cn/m3u8/202503/174170499642.m3u8
黑白恩怨（下),https://vod.gdtv.cn/m3u8/202503/174170499573.m3u8
老虎当病猫,https://vod.gdtv.cn/m3u8/202503/174145146034.m3u8
情深说话未曾讲,https://vod.gdtv.cn/m3u8/202503/174145145893.m3u8
戏假情真（上),https://vod.gdtv.cn/m3u8/202503/174118989064.m3u8
戏假情真（下),https://vod.gdtv.cn/m3u8/202503/174118719573.m3u8
偷窥风波（上),https://vod.gdtv.cn/m3u8/202503/174109899332.m3u8
偷窥风波（下),https://vod.gdtv.cn/m3u8/202503/174109899450.m3u8
不能说的秘密（上),https://vod.gdtv.cn/m3u8/202503/174108518672.m3u8
不能说的秘密（下),https://vod.gdtv.cn/m3u8/202503/174108518533.m3u8
边缘人（上),https://vod.gdtv.cn/m3u8/202503/174092720341.m3u8
边缘人（下),https://vod.gdtv.cn/m3u8/202503/174092723038.m3u8
痴男怨女W,https://cc1.wcetv.com/tablet/srp/video/srp1265.mp4
srp1264,https://cc1.wcetv.com/tablet/srp/video/srp1264.mp4
srp1263,https://cc1.wcetv.com/tablet/srp/video/srp1263.mp4
srp1262,https://cc1.wcetv.com/tablet/srp/video/srp1262.mp4
srp1261,https://cc1.wcetv.com/tablet/srp/video/srp1261.mp4
srp1260,https://cc1.wcetv.com/tablet/srp/video/srp1260.mp4
srp1259,https://cc1.wcetv.com/tablet/srp/video/srp1259.mp4
srp1258,https://cc1.wcetv.com/tablet/srp/video/srp1258.mp4
srp1257,https://cc1.wcetv.com/tablet/srp/video/srp1257.mp4
在逃犯56,http://132.226.28.249:88/move/srp1256.mp4
srp1255,https://cc1.wcetv.com/tablet/srp/video/srp1255.mp4
srp1254,https://cc1.wcetv.com/tablet/srp/video/srp1254.mp4
捉女婿,http://132.226.28.249:88/move/srp1253.mp4
温暖的送别,http://132.226.28.249:88/move/srp1242.mp4
祸福香炉,http://132.226.28.249:88/move/srp1241.mp4
打烂醋埕,http://132.226.28.249:88/move/srp1240.mp4
美吃大决斗,http://132.226.28.249:88/move/srp1239.mp4
丈母娘夸女婿,http://132.226.28.249:88/move/srp1238.mp4
家有旺宅,http://132.226.28.249:88/move/srp1237.mp4
与虎谋皮,http://132.226.28.249:88/move/srp1236.mp4
警服之殉,http://132.226.28.249:88/move/srp1235.mp4
炳的宴席,https://vod.gdtv.cn/m3u8/202412/173315070478.m3u8
一笔私藏钱,https://vod.gdtv.cn/m3u8/202412/173315070191.m3u8
不请自来A,https://vod.gdtv.cn/m3u8/202412/173306950831.m3u8
不请自来B,https://vod.gdtv.cn/m3u8/202412/173306952938.m3u8
匹配者A,https://vod.gdtv.cn/m3u8/202412/173298084645.m3u8
匹配者B,https://vod.gdtv.cn/m3u8/202412/173298084689.m3u8


非诚勿扰,#genre#
25-04-12,https://videos.jstv.com/video/2025/04/12/202504122208261744466906180_991_21.mp4
25-04-19,https://videos.jstv.com/video/2025/04/19/202504192154551745070895217_985_21.mp4
25-04-26,https://videos.jstv.com/video/2025/04/26/202504262157431745675863941_442_21.mp4
25-05-03,https://videos.jstv.com/video/2025/05/04/202505040025371746289537441_356_21.mp4
25-05-10,https://videos.jstv.com/video/2025/05/10/202505102148041746884884608_327_21.mp4
25-05-17,https://videos.jstv.com/video/2025/05/17/202505172205241747490724365_758_21.mp4
25-05-24,https://vod.v.jstv.com/2025/05/24/JSTV_JSWSNEW_1748099045103_w7FKp6N_2138.mp4
25-05-31,https://videos.jstv.com/video/2025/06/01/202506010009131748707753148_917_21.mp4
25-06-07,https://videos.jstv.com/video/2025/06/07/202506072205451749305145755_819_21.mp4
25-06-14,https://videos.jstv.com/video/2025/06/14/202506142150381749909038010_338_21.mp4
24-11-02,http://vod.v.jstv.com/2024/11/02/JSTV_JSWSNEW_1730556380801_dPBlao0_2219.mp4
24-11-09,http://vod.v.jstv.com/2024/11/09/JSTV_JSWSNEW_1731160434016_6EjM23f_2980.mp4
24-11-16,http://vod.v.jstv.com/2024/11/17/JSTV_JSWSNEW_1731775222067_3fVR80e_2524.mp4
24-11-23,http://vod.v.jstv.com/2024/11/23/JSTV_JSWSNEW_1732369733874_XTevlwH_2629.mp4
24-11-30,http://vod.v.jstv.com/2024/11/30/JSTV_JSWSNEW_1732974931062_3PC8zJ4_216.mp4
24-12-07,http://vod.v.jstv.com/2024/12/07/JSTV_JSWSNEW_1733580280267_S2uHRfa_2262.mp4
24-12-14,http://vod.v.jstv.com/2024/12/14/JSTV_JSWSNEW_1734186101028_5Rj3rZ8_2671.mp4
24-12-21,http://vod.v.jstv.com/2024/12/21/JSTV_JSWSNEW_1734789548263_7gCE3vi_2333.mp4
24-12-28,https://vod.v.jstv.com/2024/12/28/JSTV_JSWSNEW_1735394884781_k2e7IYL_2238.mp4
25-01-04,http://vod.v.jstv.com/2025/01/04/JSTV_JSWSNEW_1735999470061_QpnPlh8_2528.mp4
25-01-11,http://vod.v.jstv.com/2025/01/11/JSTV_JSWSNEW_1736604684080_fX7Zvtv_2355.mp4
25-01-18,http://vod.v.jstv.com/2025/01/18/JSTV_JSWSNEW_1737208693360_Juy9kqo_2967.mp4
25-01-25,http://vod.v.jstv.com/2025/01/25/JSTV_JSWSNEW_1737813780362_g6PJqY8_262.mp4
25-02-01,http://vod.v.jstv.com/2025/02/01/JSTV_JSWSNEW_1738419228799_GBjMboj_2178.mp4
25-02-08,https://vod.v.jstv.com/2025/02/08/JSTV_JSWSNEW_1739024522778_vz3xU85_2346.mp4
25-02-15,https://videos.jstv.com/video/2025/02/15/202502152209401739628580366_561_21.mp4
25-02-22,https://videos.jstv.com/video/2025/02/22/202502222222361740234156694_536_21.mp4
25-03-01,https://videos.jstv.com/video/2025/03/01/202503012211231740838283442_800_21.mp4
25-03-09,https://videos.jstv.com/video/2025/03/09/202503090041411741452101288_434_21.mp4
25-03-15,https://videos.jstv.com/video/2025/03/15/202503152206201742047580137_759_21.mp4
25-03-22,https://videos.jstv.com/video/2025/03/22/202503222153451742651625736_660_21.mp4
25-03-29,https://videos.jstv.com/video/2025/03/29/202503292202231743256943411_961_21.mp4
25-04-05,https://videos.jstv.com/video/2025/04/05/202504052210491743862249861_398_21.mp4


👉中国式相亲👉金星主持,#genre#
2016-12-24,http://132.226.28.249:88/move/ZGXQ0/20161224.m3u8
2017-01-07,http://132.226.28.249:88/move/ZGXQ0/20170107.m3u8
2017-01-14,http://132.226.28.249:88/move/ZGXQ0/20170114.m3u8
2017-01-21,http://132.226.28.249:88/move/ZGXQ0/20170121.m3u8
2017-02-11,http://132.226.28.249:88/move/ZGXQ0/20170211.m3u8
2017-02-16,http://132.226.28.249:88/move/ZGXQ0/20170216.m3u8
2017-02-18,http://132.226.28.249:88/move/ZGXQ0/20170218.m3u8
2017-02-23,http://132.226.28.249:88/move/ZGXQ0/20170223.m3u8
2017-03-04,http://132.226.28.249:88/move/ZGXQ0/20170304.m3u8
2017-03-11,http://132.226.28.249:88/move/ZGXQ0/20170311.m3u8




👉中国新相亲👉第一季,#genre#
2018-01-20,http://132.226.28.249:88/move/ZGXQ1/20180120.m3u8
2018-01-27,http://132.226.28.249:88/move/ZGXQ1/20180127.m3u8
2018-02-03,http://132.226.28.249:88/move/ZGXQ1/20180203.m3u8
2018-02-10,http://132.226.28.249:88/move/ZGXQ1/20180210.m3u8
2018-02-24,http://132.226.28.249:88/move/ZGXQ1/20180224.m3u8
2018-03-03,http://132.226.28.249:88/move/ZGXQ1/20180303.m3u8
2018-03-10,http://132.226.28.249:88/move/ZGXQ1/20180310.m3u8
2018-03-24,http://132.226.28.249:88/move/ZGXQ1/20180324.m3u8
2018-03-31,http://132.226.28.249:88/move/ZGXQ1/20180331.m3u8
2018-04-07,http://132.226.28.249:88/move/ZGXQ1/20180407.m3u8
2018-04-14,http://132.226.28.249:88/move/ZGXQ1/20180414.m3u8
2018-04-21,http://132.226.28.249:88/move/ZGXQ1/20180421.m3u8
2018-04-28,http://132.226.28.249:88/move/ZGXQ1/20180428.m3u8
2018-05-05,http://132.226.28.249:88/move/ZGXQ1/20180505.m3u8

💝新加💝👉💝中国新相亲💝👉第二季,#genre#
2019-02-16,http://132.226.28.249:88/move/ZGXQ2/20190216.m3u8
2019-02-23,http://132.226.28.249:88/move/ZGXQ2/20190223.m3u8
2019-03-02,http://132.226.28.249:88/move/ZGXQ2/20190302.m3u8
💝2019-03-16,http://132.226.28.249:88/move/ZGXQ2/20190316.m3u8
💝2019-03-23,http://132.226.28.249:88/move/ZGXQ2/20190323.m3u8
💝2019-03-30,http://132.226.28.249:88/move/ZGXQ2/20190330.m3u8
💝2019-04-06,http://132.226.28.249:88/move/ZGXQ2/20190406.m3u8








